anio,mes,ciclo_laboral,day,dia_label,fin_de_semana,principo_mes,fin_de_mes,hora,noche,horario_bancario,delito_tipo,delito_subtipo,uso_arma,calle,cajeros_a_100,cajeros_a_200,banco,red,bancos_a_100,bancos_a_200,comisarias_a_100,comisarias_a_200,precio_m2_usd,densidad_pob,pct_hogares_nbi,barrio,comuna
2016,OCTUBRE,Ciclo laboral,21,VIERNES,no,no,no,21,si,no,Robo,Robo total,SI,CALLE,si,si,NUEVO BCO. INDUSTRIAL DE AZUL S.A.,LINK,si,si,no,no,2123,14856.795156408649,0.0756578947368421,SANTA RITA,11
2016,OCTUBRE,Ciclo laboral,22,SABADO,si,no,no,16,no,no,Robo,Robo total,NO,CALLE,si,si,Banco Santander Río,BANELCO,si,si,no,no,2123,15498.790799077018,0.10270270270270271,SANTA RITA,11
2016,OCTUBRE,Ciclo laboral,26,MIERCOLES,no,no,si,11,no,si,Robo,Robo total,NO,CALLE,si,si,Banco Santander Río,BANELCO,si,si,no,no,2123,15498.790799077018,0.10270270270270271,SANTA RITA,11
2016,OCTUBRE,Ciclo laboral,5,MIERCOLES,no,si,no,15,no,si,Robo,Robo total,NO,CALLE,no,si,BBVA Banco Francés,BANELCO,no,no,no,no,2123,12653.801828802114,0.14450867052023122,SANTA RITA,11
2016,OCTUBRE,Ciclo laboral,6,JUEVES,no,si,no,7,no,no,Robo,Robo total,NO,AVENIDA,no,si,BBVA Banco Francés,BANELCO,no,si,no,no,2123,12653.801828802114,0.14450867052023122,SANTA RITA,11
2016,OCTUBRE,Ciclo laboral,8,SABADO,si,no,no,20,si,no,Robo,Robo total,SI,CALLE,no,no,Banco Galicia,BANELCO,no,no,no,no,2004,10774.19054926541,0.01384083044982699,FLORES,7
2016,OCTUBRE,Ciclo laboral,21,VIERNES,no,no,no,10,no,si,Robo,Robo total,NO,AVENIDA,si,si,CABAL COOP. LTDA.,LINK,si,si,no,no,2004,13754.057217831645,0.05947955390334572,FLORES,7
2016,OCTUBRE,Ciclo laboral,24,LUNES,no,no,si,19,si,no,Robo,Robo total,NO,CALLE,no,no,Banco Galicia,BANELCO,no,no,no,no,2004,18288.888705781876,0.005405405405405406,FLORES,7
2016,OCTUBRE,Ciclo laboral,17,LUNES,no,no,no,18,si,no,Robo,Robo total,NO,CALLE,no,no,Banco Galicia,BANELCO,no,no,no,no,1977,14330.341610277703,0.033962264150943396,VILLA GRAL MITRE,11
2016,OCTUBRE,Ciclo laboral,28,VIERNES,no,no,si,19,si,no,Robo,Robo total,NO,CALLE,no,no,Banco Galicia,BANELCO,no,no,no,no,1977,19883.915118175835,0.07090464547677261,VILLA GRAL MITRE,11
